Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
15, 9, MN101, 0, 1881, 8.9, 22.2, 181.58, 140.43, -41.15, 0.86, 0, 
15, 9, MN102, 1, 7920, 8.9, 22.2, 197.47, 147.12, -50.35, 0.86, 0, 
15, 10, MN101, 0, 1881, 6.5, 16, 132.19, 94.42, -37.77, 0.66, 0, 
15, 10, MN102, 1, 7920, 6.5, 16, 159.75, 97.9, -61.84, 0.66, 0, 
15, 11, MN101, 0, 1881, 4.3, 6.9, 4.32, 42.27, 37.96, 0.49, 0, 
15, 11, MN102, 1, 7920, 4.3, 6.9, 1.71, 44.72, 43.01, 0.49, 0, 
15, 12, MN101, 0, 1881, 3.1, -1.4, 0, 1.03, 1.03, 0.4, 0, 
15, 12, MN102, 1, 7920, 3.1, -1.4, 0, 1.04, 1.04, 0.4, 0, 
15, 1, MN101, 0, 1881, 3, -4.9, 0, 0.86, 0.86, 0.38, 0, 
15, 1, MN102, 1, 7920, 3, -4.9, 0, 0.87, 0.87, 0.38, 0, 
15, 2, MN101, 0, 1881, 2.6, -2.2, 0, 1.05, 1.05, 0.35, 0, 
15, 2, MN102, 1, 7920, 2.6, -2.2, 0, 1.05, 1.05, 0.35, 0, 
15, 3, MN101, 0, 1881, 3.7, 5, 3.05, 35.95, 32.9, 0.44, 0, 
15, 3, MN102, 1, 7920, 3.7, 5, 1.19, 36.27, 35.08, 0.44, 0, 
15, 4, MN101, 0, 1881, 5.7, 13.8, 35.68, 84.14, 48.47, 0.61, 0.56, 
15, 4, MN102, 1, 7920, 5.7, 13.8, 18.11, 82.46, 64.36, 0.61, 0.36, 
15, 5, MN101, 0, 1881, 8.4, 20.5, 129.84, 117.11, -12.73, 0.82, 0.27, 
15, 5, MN102, 1, 7920, 8.4, 20.5, 120.34, 114.64, -5.7, 0.82, 0.18, 
15, 6, MN101, 0, 1881, 10.9, 25.7, 154.1, 108.41, -45.7, 1.02, 0, 
15, 6, MN102, 1, 7920, 10.9, 25.7, 166.71, 106.49, -60.22, 1.02, 0, 
20, 7, MN101, 0, 1881, 10.9, 28.6, 111.87, 78.06, -33.81, 1.02, 0, 
20, 7, MN102, 1, 7920, 10.9, 28.6, 117.63, 76.52, -41.11, 1.02, 0, 
20, 8, MN101, 0, 1881, 9.9, 27.3, 127.08, 88.97, -38.11, 0.94, 0, 
20, 8, MN102, 1, 7920, 9.9, 27.3, 132.88, 86.98, -45.9, 0.94, 0, 
20, 9, MN101, 0, 1881, 8.9, 22.2, 173.44, 140.67, -32.77, 0.86, 0, 
20, 9, MN102, 1, 7920, 8.9, 22.2, 182.39, 147.38, -35, 0.86, 0, 
20, 10, MN101, 0, 1881, 6.5, 16, 120.59, 94.76, -25.83, 0.66, 0, 
20, 10, MN102, 1, 7920, 6.5, 16, 136.34, 98.17, -38.17, 0.66, 0, 
20, 11, MN101, 0, 1881, 4.3, 6.9, 4.32, 42.16, 37.84, 0.49, 0, 
20, 11, MN102, 1, 7920, 4.3, 6.9, 1.72, 44.3, 42.58, 0.49, 0, 
20, 12, MN101, 0, 1881, 3.1, -1.4, 0, 1.03, 1.03, 0.4, 0, 
20, 12, MN102, 1, 7920, 3.1, -1.4, 0, 1.04, 1.04, 0.4, 0, 
20, 1, MN101, 0, 1881, 3, -4.9, 0, 0.86, 0.86, 0.38, 0, 
20, 1, MN102, 1, 7920, 3, -4.9, 0, 0.87, 0.87, 0.38, 0, 
20, 2, MN101, 0, 1881, 2.6, -2.2, 0, 1.05, 1.05, 0.35, 0, 
20, 2, MN102, 1, 7920, 2.6, -2.2, 0, 1.05, 1.05, 0.35, 0, 
20, 3, MN101, 0, 1881, 3.7, 5, 3.02, 35.93, 32.91, 0.44, 0, 
20, 3, MN102, 1, 7920, 3.7, 5, 1.19, 36.06, 34.87, 0.44, 0, 
20, 4, MN101, 0, 1881, 5.7, 13.8, 35.71, 84.52, 48.81, 0.61, 0.57, 
20, 4, MN102, 1, 7920, 5.7, 13.8, 18.48, 82.65, 64.17, 0.61, 0.37, 
20, 5, MN101, 0, 1881, 8.4, 20.5, 129.89, 118.03, -11.86, 0.82, 0.28, 
20, 5, MN102, 1, 7920, 8.4, 20.5, 124.22, 115.56, -8.66, 0.82, 0.18, 
20, 6, MN101, 0, 1881, 10.9, 25.7, 149.12, 109.59, -39.53, 1.02, 0, 
20, 6, MN102, 1, 7920, 10.9, 25.7, 158.49, 107.9, -50.59, 1.02, 0, 
25, 7, MN101, 0, 1881, 10.9, 28.6, 114.15, 78.82, -35.33, 1.02, 0, 
25, 7, MN102, 1, 7920, 10.9, 28.6, 123.81, 77.72, -46.09, 1.02, 0, 
25, 8, MN101, 0, 1881, 9.9, 27.3, 129.34, 89.8, -39.54, 0.94, 0, 
25, 8, MN102, 1, 7920, 9.9, 27.3, 139.17, 88.23, -50.95, 0.94, 0, 
25, 9, MN101, 0, 1881, 8.9, 22.2, 176.48, 142.46, -34.02, 0.86, 0, 
25, 9, MN102, 1, 7920, 8.9, 22.2, 190.84, 151.42, -39.42, 0.86, 0, 
25, 10, MN101, 0, 1881, 6.5, 16, 122.81, 95.9, -26.91, 0.66, 0, 
25, 10, MN102, 1, 7920, 6.5, 16, 142.68, 100.51, -42.17, 0.66, 0, 
25, 11, MN101, 0, 1881, 4.3, 6.9, 4.31, 42.61, 38.3, 0.49, 0, 
25, 11, MN102, 1, 7920, 4.3, 6.9, 1.69, 45.27, 43.57, 0.49, 0, 
25, 12, MN101, 0, 1881, 3.1, -1.4, 0, 1.04, 1.04, 0.4, 0, 
25, 12, MN102, 1, 7920, 3.1, -1.4, 0, 1.07, 1.07, 0.4, 0, 
25, 1, MN101, 0, 1881, 3, -4.9, 0, 0.87, 0.87, 0.38, 0, 
25, 1, MN102, 1, 7920, 3, -4.9, 0, 0.88, 0.88, 0.38, 0, 
25, 2, MN101, 0, 1881, 2.6, -2.2, 0, 1.07, 1.07, 0.35, 0, 
25, 2, MN102, 1, 7920, 2.6, -2.2, 0, 1.07, 1.07, 0.35, 0, 
25, 3, MN101, 0, 1881, 3.7, 5, 2.98, 36.21, 33.24, 0.44, 0, 
25, 3, MN102, 1, 7920, 3.7, 5, 1.17, 36.67, 35.5, 0.44, 0, 
25, 4, MN101, 0, 1881, 5.7, 13.8, 35.5, 85.33, 49.82, 0.61, 0.57, 
25, 4, MN102, 1, 7920, 5.7, 13.8, 18.44, 84.12, 65.68, 0.61, 0.38, 
25, 5, MN101, 0, 1881, 8.4, 20.5, 130.27, 119.15, -11.12, 0.82, 0.28, 
25, 5, MN102, 1, 7920, 8.4, 20.5, 128.33, 117.45, -10.88, 0.82, 0.18, 
25, 6, MN101, 0, 1881, 10.9, 25.7, 150.52, 110.63, -39.89, 1.02, 0, 
25, 6, MN102, 1, 7920, 10.9, 25.7, 164.04, 109.54, -54.5, 1.02, 0, 
30, 7, MN101, 0, 1881, 10.9, 28.6, 114.4, 79.57, -34.83, 1.02, 0, 
30, 7, MN102, 1, 7920, 10.9, 28.6, 124.59, 78.64, -45.96, 1.02, 0, 
30, 8, MN101, 0, 1881, 9.9, 27.3, 129.66, 90.65, -39.01, 0.94, 0, 
30, 8, MN102, 1, 7920, 9.9, 27.3, 140.1, 89.25, -50.85, 0.94, 0, 
30, 9, MN101, 0, 1881, 8.9, 22.2, 176.59, 143.24, -33.35, 0.86, 0, 
30, 9, MN102, 1, 7920, 8.9, 22.2, 191.5, 152.72, -38.78, 0.86, 0, 
30, 10, MN101, 0, 1881, 6.5, 16, 124.82, 96.63, -28.19, 0.66, 0, 
30, 10, MN102, 1, 7920, 6.5, 16, 148.28, 101.55, -46.73, 0.66, 0, 
30, 11, MN101, 0, 1881, 4.3, 6.9, 4.26, 42.94, 38.68, 0.49, 0, 
30, 11, MN102, 1, 7920, 4.3, 6.9, 1.62, 45.8, 44.18, 0.49, 0, 
30, 12, MN101, 0, 1881, 3.1, -1.4, 0, 1.05, 1.05, 0.4, 0, 
30, 12, MN102, 1, 7920, 3.1, -1.4, 0, 1.08, 1.08, 0.4, 0, 
30, 1, MN101, 0, 1881, 3, -4.9, 0, 0.88, 0.88, 0.38, 0, 
30, 1, MN102, 1, 7920, 3, -4.9, 0, 0.9, 0.9, 0.38, 0, 
30, 2, MN101, 0, 1881, 2.6, -2.2, 0, 1.07, 1.07, 0.35, 0, 
30, 2, MN102, 1, 7920, 2.6, -2.2, 0, 1.08, 1.08, 0.35, 0, 
30, 3, MN101, 0, 1881, 3.7, 5, 2.9, 36.4, 33.5, 0.44, 0, 
30, 3, MN102, 1, 7920, 3.7, 5, 1.12, 36.96, 35.84, 0.44, 0, 
30, 4, MN101, 0, 1881, 5.7, 13.8, 35.05, 85.97, 50.92, 0.61, 0.58, 
30, 4, MN102, 1, 7920, 5.7, 13.8, 17.84, 85.03, 67.18, 0.61, 0.38, 
30, 5, MN101, 0, 1881, 8.4, 20.5, 127.27, 120.09, -7.18, 0.82, 0.28, 
30, 5, MN102, 1, 7920, 8.4, 20.5, 124.48, 118.7, -5.78, 0.82, 0.19, 
30, 6, MN101, 0, 1881, 10.9, 25.7, 147.76, 111.55, -36.21, 1.02, 0, 
30, 6, MN102, 1, 7920, 10.9, 25.7, 162.11, 110.69, -51.41, 1.02, 0, 
